UserID,MovieID,Rating
1,241,5
1,585,5
1,2260,5
1,1421,1
1,1836,3
1,81,4
1,3860,3
1,953,5
1,4430,5
1,1261,5
1,562,3
1,4289,2
1,3548,1
1,2537,3
1,3713,3
1,1293,5
1,24,5
1,158,1
1,3624,3
1,4440,2
1,2772,2
1,1182,5
1,752,1
1,4522,3
1,4303,2
1,297,5
1,627,4
1,539,2
1,2403,4
1,3871,5
1,4962,5
1,2928,2
1,5120,5
1,2438,5
1,3540,5
1,1002,5
1,2628,5
1,3530,3
1,795,5
1,2300,4
1,473,5
1,4848,3
1,4029,5
1,3489,5
1,4103,1
1,2821,5
1,1362,4
1,1600,5
1,1653,3
1,2178,3
1,2856,5
1,2032,2
1,80,5
1,811,4
1,4275,4
1,1345,3
1,2679,4
1,4347,3
1,1875,1
1,4904,2
1,2318,1
1,3283,5
1,4324,5
1,4389,3
1,1130,5
1,3321,3
1,4687,5
1,4473,5
1,734,5
1,2528,3
1,3652,5
1,4300,2
1,2985,5
1,1627,1
1,30,5
1,3188,5
1,423,5
1,684,1
1,1833,5
1,4305,2
1,1097,5
1,1085,2
1,2599,3
1,2053,4
1,280,3
1,1159,2
1,3457,2
1,3840,3
1,3741,5
1,1539,5
1,5094,1
1,2115,3
1,3299,1
1,133,1
1,2940,5
1,5211,5
1,5051,2
1,3059,2
1,4271,1
1,678,5
1,2848,5
2,2240,4
2,3180,5
2,368,3
2,2725,3
2,2734,5
2,1345,2
2,968,4
2,1248,5
2,4748,2
2,607,3
2,1769,5
2,1475,4
2,2520,4
2,4815,3
2,841,4
2,4369,5
2,1531,5
2,2120,1
2,1915,5
2,34,5
2,1842,4
2,906,5
2,2250,4
2,1609,5
2,2433,5
2,4397,2
2,3361,3
2,2948,3
2,1023,3
2,2423,1
2,2316,5
2,305,1
2,3544,4
2,2518,5
2,5094,2
2,3078,5
2,485,5
2,2499,4
2,4526,3
2,4066,2
2,2997,5
2,3251,1
2,484,5
2,2681,5
2,2347,2
2,1612,5
2,1892,1
2,1218,5
2,1209,1
2,399,5
2,511,2
2,4405,5
2,2752,4
2,4135,1
2,1370,4
2,2819,3
2,1955,5
2,4269,5
2,1012,3
2,3063,2
2,3633,1
2,1196,4
2,1263,3
2,4263,3
2,2947,2
2,797,3
2,1847,5
2,108,2
2,1394,4
2,3819,5
2,1061,5
2,1441,3
2,4973,5
2,2211,5
2,1976,1
2,949,3
2,1704,2
2,1414,3
2,1924,3
2,2406,5
2,102,1
2,252,4
2,4851,4
2,4279,4
2,153,5
2,5215,3
2,2466,5
2,206,4
2,2454,4
2,1611,5
2,4319,2
2,5126,1
2,2763,5
2,1084,4
2,1635,5
2,361,5
2,3676,3
2,2394,3
2,3438,3
2,4438,3
2,3118,5
2,5010,5
2,1114,4
2,4809,1
2,4935,3
2,563,2
2,3153,5
2,1107,1
2,1654,5
2,3265,5
2,1029,5
2,4663,3
2,4159,5
2,5065,5
2,2788,5
2,3431,3
2,2410,4
2,3291,5
2,3348,1
2,1686,3
2,5046,5
2,4248,1
2,583,3
2,2471,3
2,714,5
2,4205,1
2,1166,5
2,1146,1
2,3330,1
2,1781,5
3,5123,5
3,1338,2
3,2951,1
3,402,2
3,4299,3
3,4270,2
3,2361,3
3,5204,5
3,1195,5
3,350,5
3,2497,1
3,2558,5
3,88,5
3,1683,5
3,146,2
3,1582,3
3,641,5
3,3221,5
3,2759,5
3,4983,4
3,347,3
3,2003,5
3,4710,1
3,2100,5
3,1096,5
3,4874,5
3,4638,2
3,1995,2
3,358,5
3,3546,5
3,100,4
3,1065,4
3,1640,2
3,782,5
3,7,5
3,33,5
3,833,3
3,48,5
3,4875,3
3,1896,4
3,2646,5
3,3879,2
3,3670,3
3,1221,5
3,2137,4
3,4301,1
3,2976,3
3,4614,4
3,2913,5
3,1598,2
3,4657,5
3,2609,1
3,3797,2
3,1073,2
3,2808,5
3,3188,2
3,2960,5
3,4363,4
3,4368,5
3,1164,5
3,651,5
3,3118,5
3,2585,5
3,3097,5
3,3006,2
3,4295,1
3,4059,5
3,3180,3
3,1154,3
3,1163,4
3,885,3
3,3961,5
3,4434,1
3,1212,5
3,2681,5
3,3139,5
3,1769,3
3,604,4
3,2178,5
3,3309,5
3,4989,5
3,5104,3
3,3427,4
3,4811,5
3,4272,2
3,2459,5
3,2328,5
3,5137,5
3,2849,4
3,2699,4
3,4563,5
3,5008,5
3,4018,5
3,2308,5
3,696,5
3,1583,5
3,328,4
3,1545,4
3,3311,4
3,2864,1
3,3902,2
3,567,2
3,1731,5
3,3090,2
3,1662,1
3,3746,1
3,3266,5
3,3044,1
3,4256,4
3,672,1
3,578,5
3,551,5
3,139,5
3,2463,3
3,4537,5
3,4005,4
3,4149,3
3,19,3
3,734,1
3,4307,5
3,4817,2
3,5027,4
3,3826,4
3,1049,4
3,1376,5
3,3999,5
3,3490,5
3,5070,4
3,2205,1
3,313,3
3,1824,5
3,362,5
3,1419,5
3,4623,2
3,3683,1
3,3373,3
4,3356,1
4,1581,5
4,4700,5
4,363,3
4,2356,2
4,1454,4
4,1528,5
4,2768,5
4,3721,5
4,5116,1
4,370,5
4,2915,3
4,2350,2
4,2084,1
4,3805,3
4,154,5
4,2632,5
4,1560,5
4,1125,2
4,15,5
4,1505,5
4,2219,4
4,2618,5
